UX,UY,UZ,PX,PY,PZ
13841390.31,135428864.7,1282014.824,13841390.31,135428864.7,1282014.824
11447202.86,132866126.5,1363186.501,11452143.79,132881148.7,1363064.563
9039485.559,130219131.4,1443982.39,9058124.012,130277939,1443544.502
6620613.032,127487506.9,1524260.339,6660085.222,127616772.3,1523381.609
4192971.039,124670948,1603878.469,4258896.604,124895015.5,1602494.707
1758954.596,121769216.9,1682695.287,1855559.942,122109850.9,1680793.377
-679033.7871,118782142.4,1760569.767,-548769.5993,119258258.8,1758176.686
-3118585.511,115709618.4,1837361.392,-2952758.852,116336999.2,1834531.676
-5557285.738,112551597.2,1912929.987,-5354866.919,113342586.8,1909731.501
-7992699.599,109308049.3,1987133.888,-7753306.198,110271247.3,1983632.654
-10421237.3,105978723.2,2059732.817,-10145999.01,107117389.1,2056026.675
-12839801.12,102565234.4,2130556.707,-12707772.66,103845195.2,2128689.272
-15247896.38,99067048,2199614.425,-15258993.86,100484685.1,2199562.41
-17643129.41,95484333.96,2266769.875,-17795793.37,97029475.4,2268361.357
-20023111.07,91817449.2,2331889.955,-20314193.42,93474215.71,2334819.151
-22385464.54,88066835.7,2394843.514,-22809559.83,89813238.19,2398633.535
-24727826.5,84233008.56,2455501.214,-25276481.44,86040531.09,2459460.619
-27047848.82,80316552.66,2513735.562,-27708631.58,82149742.4,2516908.347
-29343200.47,76318121.2,2569420.993,-30098606.1,78134203.42,2570529.183
-31611569.35,72238434.72,2622433.967,-32437734.94,73986977.7,2619811.933
-33850664.31,68078280.39,2672653.069,-34715864.9,69700944.53,2664172.731
-36058217.02,63838511.23,2719959.106,-36921113.66,65268930.78,2702945.361
-38231983.92,59520045.42,2764235.212,-39039597.67,60683908.31,2735371.34
-40369748.11,55123865.51,2805366.943,-41055142.89,55939279.53,2760590.466
-42469321.23,50651017.63,2843242.378,-42948995.89,51029277.62,2777633.087
-44528545.36,46102610.58,2877752.213,-44699567.03,45949511.01,2785416.004
-46545294.81,41479814.97,2908789.853,-46282256.87,40697679.83,2782744.825
-48517477.97,36783862.23,2936251.508,-47669442.46,35274482.07,2768326.671
-50443039.07,32016043.59,2960036.275,-48830728.33,29684701.49,2740798.03
-52319959.93,27177709,2980046.231,-49733590.82,23938422.16,2698773.047
-54146261.72,22270266,2996186.51,-50344547.05,18052241.67,2640916.529
-55920006.58,17295178.57,3008365.391,-50630939.43,12050262.12,2566042.732
-57639299.32,12253965.86,3016494.371,-50563318.75,5964552.745,2473234.599
-59302289,7148200.919,3020488.239,-50118227.59,-165251.7329,2361969.155
-60907170.51,1979509.385,3020265.155,-49280968.51,-6293464.506,2232225.816
-62452186.11,-3250431.916,3015746.712,-48047779.99,-12370983.45,2084550.211
-63935626.87,-8539896.384,3006858.005,-46426851.62,-18348727.48,1920051.475
-65355834.18,-13887109.12,2993527.695,-44437849.22,-24181253.25,1740326.583
-66711201.06,-19290248.43,2975688.067,-42110019.41,-29829836.37,1547325.556
