UX,UY,UZ,UVX,UVY,UVZ,PX,PY,PZ,PVX,PVY,PVZ
13841390.31,135428864.7,1282014.824,-27.62308022,-29.17535376,0.941112714,13841390.31,135428864.7,1282014.824,-27.62308022,-29.17535376,0.941112714
11447202.86,132866126.5,1363186.501,-27.79336951,-30.14813682,0.937586723,11452143.79,132881148.7,1363064.563,-27.68229245,-29.80400161,0.934911821
9039485.559,130219131.4,1443982.39,-27.93624626,-31.12561744,0.932414257,9058124.012,130277939,1443544.502,-27.73337991,-30.46023138,0.927909029
6620613.032,127487506.9,1524260.339,-28.05157081,-32.10701873,0.925597885,6660085.222,127616772.3,1523381.609,-27.77510394,-31.14592623,0.920015774
4192971.039,124670948,1603878.469,-28.13922531,-33.09156197,0.917141435,4258896.604,124895015.5,1602494.707,-27.80603743,-31.86313505,0.911131758
1758954.596,121769216.9,1682695.287,-28.19911313,-34.07847027,0.907049886,1855559.942,122109850.9,1680793.377,-27.82453204,-32.61409028,0.901143045
-679033.7871,118782142.4,1760569.767,-28.23115681,-35.06697692,0.895329064,-548769.5993,119258258.8,1758176.686,-27.82867833,-33.40123056,0.889919714
-3118585.511,115709618.4,1837361.392,-28.23529068,-36.05635112,0.88198462,-2952758.852,116336999.2,1834531.676,-27.81625573,-34.2272366,0.877312693
-5557285.738,112551597.2,1912929.987,-28.21142227,-37.04601177,0.867017027,-5354866.919,113342586.8,1909731.501,-27.78466104,-35.09512347,0.86314824
-7992699.599,109308049.3,1987133.888,-28.15894203,-38.03658883,0.85036424,-7753306.198,110271247.3,1983632.654,-27.73072983,-36.00877961,0.847206662
-10421237.3,105978723.2,2059732.817,-28.04441066,-39.01971605,0.829411801,-10145999.01,107117389.1,2056026.675,-28.63916775,-38.23539438,0.806993417
-12839801.12,102565234.4,2130556.707,-27.93665562,-39.9980724,0.809766927,-12707772.66,103845195.2,2128689.272,-29.59776122,-38.36675144,0.831347103
-15247896.38,99067048,2199614.425,-27.80165883,-40.97802355,0.788529542,-15258993.86,100484685.1,2199562.41,-29.45167032,-39.43276811,0.808772552
-17643129.41,95484333.96,2266769.875,-27.63894141,-41.95447527,0.765738138,-17795793.37,97029475.4,2268361.357,-29.26288935,-40.55923841,0.783282239
-20023111.07,91817449.2,2331889.955,-27.44864156,-42.92626223,0.741418136,-20314193.42,93474215.71,2334819.151,-29.02449166,-41.74936937,0.754510732
-22385464.54,88066835.7,2394843.514,-27.23090731,-43.89250059,0.715590679,-22809559.83,89813238.19,2398633.535,-28.72820811,-43.00707822,0.722011959
-24727826.5,84233008.56,2455501.214,-26.98590434,-44.85236951,0.68827679,-25276481.44,86040531.09,2459460.619,-28.36428568,-44.33636205,0.685267523
-27047848.82,80316552.66,2513735.562,-26.71381917,-45.80507157,0.659498276,-27708631.58,82149742.4,2516908.347,-27.92123953,-45.74106419,0.643679265
-29343200.47,76318121.2,2569420.993,-26.41486031,-46.74982218,0.629277999,-30098606.1,78134203.42,2570529.183,-27.385562,-47.22462318,0.596559433
-31611569.35,72238434.72,2622433.967,-26.08925861,-47.68584621,0.597639956,-32437734.94,73986977.7,2619811.933,-26.74140073,-48.78973319,0.543120567
-33850664.31,68078280.39,2672653.069,-25.73726724,-48.61237701,0.56460931,-34715864.9,69700944.53,2664172.731,-25.97022079,-50.437872,0.48246654
-36058217.02,63838511.23,2719959.106,-25.35916171,-49.5286563,0.53021239,-36921113.66,65268930.78,2702945.361,-25.05047891,-52.16865056,0.413586779
-38231983.92,59520045.42,2764235.212,-24.95523966,-50.43393449,0.494476681,-39039597.67,60683908.31,2735371.34,-23.95735944,-53.97893207,0.335356784
-40369748.11,55123865.51,2805366.943,-24.52582066,-51.3274711,0.457430806,-41055142.89,55939279.53,2760590.466,-22.66265519,-55.86166639,0.246549679
-42469321.23,50651017.63,2843242.378,-24.071246,-52.20853531,0.419104507,-42948995.89,51029277.62,2777633.087,-21.13492345,-57.80439419,0.145865597
-44528545.36,46102610.58,2877752.213,-23.59187836,-53.0764066,0.37952862,-44699567.03,45949511.01,2785416.004,-19.3401095,-59.78740728,0.031988194
-46545294.81,41479814.97,2908789.853,-23.08810161,-53.93037532,0.33873505,-46282256.87,40697679.83,2782744.825,-17.24289962,-61.78162376,-0.096320238
-48517477.97,36783862.23,2936251.508,-22.56032037,-54.76974333,0.296756743,-47669442.46,35274482.07,2768326.671,-14.80912411,-63.74637116,-0.24007275
-50443039.07,32016043.59,2960036.275,-22.00895976,-55.59382461,0.25362766,-48830728.33,29684701.49,2740798.03,-12.00953203,-65.62748567,-0.399851672
-52319959.93,27177709,2980046.231,-21.43446497,-56.40194591,0.209382744,-49733590.82,23938422.16,2698773.047,-8.825129527,-67.35642229,-0.575543661
-54146261.72,22270266,2996186.51,-20.8373009,-57.19344731,0.16405789,-50344547.05,18052241.67,2640916.529,-5.253913987,-68.85136152,-0.766038304
-55920006.58,17295178.57,3008365.391,-20.21795172,-57.96768287,0.117689913,-50630939.43,12050262.12,2566042.732,-1.318182776,-70.02141843,-0.968945301
-57639299.32,12253965.86,3016494.371,-19.57692048,-58.72402117,0.070316516,-50563318.75,5964552.745,2473234.599,2.929276713,-70.77473687,-1.18042163
-59302289,7148200.919,3020488.239,-18.91472859,-59.46184592,0.021976254,-50118227.59,-165251.7329,2361969.155,7.402547673,-71.03023716,-1.395220035
-60907170.51,1979509.385,3020265.155,-18.2319154,-60.18055652,-0.027291501,-49280968.51,-6293464.506,2232225.816,11.98591125,-70.73114043,-1.607045152
-62452186.11,-3250431.916,3015746.712,-17.52903768,-60.87956858,-0.077446595,-48047779.99,-12370983.45,2084550.211,16.54422797,-69.85677172,-1.809217089
-63935626.87,-8539896.384,3006858.005,-16.80666914,-61.55831444,-0.128448128,-46426851.62,-18348727.48,1920051.475,20.93894745,-68.42866147,-1.995516559
-65355834.18,-13887109.12,2993527.695,-16.06539985,-62.21624372,-0.180254492,-44437849.22,-24181253.25,1740326.583,25.04578628,-66.50841837,-2.160987539
-66711201.06,-19290248.43,2975688.067,-15.30583574,-62.8528238,-0.232823411,-42110019.41,-29829836.37,1547325.556,28.76915671,-64.1878018,-2.302471775
-68000173.58,-24747447.38,2953275.084,-14.52859804,-63.46754026,-0.286111974,-39479325.73,-35264468.24,1343186.947,32.04977587,-61.57424814,-2.418754614
-69221252.1,-30256795.42,2926228.444,-13.73432266,-64.0598974,-0.340076682,-36585260.22,-40464563.98,1130076.997,34.86468543,-58.77621532,-2.510350121
-70372992.56,-35816339.96,2894491.628,-12.92365965,-64.62941859,-0.394673482,-33467923.04,-45418527.15,910058.2742,37.22147298,-55.89179545,-2.579060766
-71454007.63,-41424088.09,2858011.945,-12.09727259,-65.17564678,-0.449857809,-30165746.37,-50122532.38,685000.2166,39.14963879,-53.00207511,-2.627472362
-72462967.88,-47078008.28,2816740.575,-11.25583793,-65.69814481,-0.505584628,-26713988.47,-54578932.8,456531.5433,40.69177092,-50.16892957,-2.658505251
-73398602.88,-52776032.07,2770632.607,-10.40004444,-66.19649586,-0.561808475,-23143935.04,-58794623.96,226026.6695,41.89617706,-47.4359759,-2.675080738
-74259702.19,-58516055.9,2719647.076,-9.530592484,-66.67030372,-0.618483497,-19482649.27,-62779574.3,-5384.445704,42.81158445,-44.83125386,-2.679910531
-75045116.37,-64295942.88,2663746.995,-8.648193446,-67.11919319,-0.675563495,-15753092,-66545619.72,-236792.8792,43.4838202,-42.37050353,-2.675388387
-75753757.92,-70113524.62,2602899.38,-7.753569023,-67.54281034,-0.733001969,-11974457.48,-70105540.1,-467481.3034,43.95405905,-40.06033278,-2.663554105
-76384602.07,-75966603.07,2537075.277,-6.847450581,-67.94082284,-0.790752153,-8162610.212,-73472391.34,-696893.5422,44.25816102,-37.90092871,-2.646102195
-76936687.66,-81852952.43,2466249.783,-5.930578471,-68.31292016,-0.848767068,-4330547.104,-76659047.54,-924606.0261,44.42668727,-35.88820719,-2.62441429
-77409117.87,-87770320.99,2390402.062,-5.003701349,-68.65881386,-0.906999554,-488840.2793,-79677905.25,-1150302.546,44.48528967,-34.01542688,-2.599601287
-77801060.89,-93716433.11,2309515.356,-4.067575489,-68.97823779,-0.965402319,3353962.252,-82540707.02,-1373752.755,44.45527095,-32.27435066,-2.572546877
-78111750.53,-99688991.12,2223577.002,-3.122964088,-69.27094829,-1.023927982,7190987.015,-85258449.14,-1594794.312,44.35419143,-30.65605128,-2.543948036
-78340486.85,-105685677.2,2132578.428,-2.170636568,-69.53672431,-1.082529111,11016737.27,-87841346.99,-1813318.329,44.19645311,-29.15145024,-2.514350513
-78486636.62,-111704155.6,2036515.164,-1.211367879,-69.77536765,-1.14115827,14826843.43,-90298838.01,-2029257.637,43.99382752,-27.75166377,-2.484178828
-78549633.77,-117742074.3,1935386.837,-0.245937791,-69.98670299,-1.199768059,18617856.1,-92639608.45,-2242577.415,43.75591474,-26.44821301,-2.453761021
-78528979.79,-123797067,1829197.164,0.724869808,-70.17057803,-1.258311155,22387075.78,-94871633.96,-2453267.758,43.49053275,-25.23314088,-2.423348742
-78424244.07,-129866755.6,1717953.949,1.70026762,-70.32686356,-1.316740357,26132413.38,-97002227.36,-2661337.794,43.20404242,-24.0990666,-2.393133388
-78235064.1,-135948751.4,1601669.066,2.67946564,-70.45545352,-1.375008624,29852276.27,-99038089.28,-2866811.061,42.90161579,-23.03919941,-2.363258958
-77961145.77,-142040657.9,1480358.443,3.661671863,-70.55626502,-1.43306912,33545475.43,-100985358.7,-3069721.865,42.58745602,-22.04732668,-2.333832257
-77602263.41,-148140072.2,1354042.048,4.646092986,-70.62923833,-1.490875248,37211149.68,-102849662,-3270112.429,42.26497677,-21.11778673,-2.304930957
-77158259.97,-154244587.5,1222743.86,5.631935106,-70.67433691,-1.548380698,40848704.09,-104636158.8,-3468030.664,41.93694821,-20.24543324,-2.27660996
-76629046.97,-160351794.5,1086491.847,6.618404423,-70.6915473,-1.605539483,44457759.59,-106349584.9,-3663528.426,41.60561569,-19.42559577,-2.24890642
-76014604.47,-166459283.9,945317.9358,7.604707925,-70.68087913,-1.662305975,48038111.99,-107994291.9,-3856660.158,41.27279605,-18.65403941,-2.221843685
-75314981.01,-172564648.4,799257.9758,8.590054082,-70.64236498,-1.718634951,51589698.43,-109574282.5,-4047481.842,40.93995593,-17.92692534,-2.195434418
-74530293.43,-178665484.2,648351.707,9.573653524,-70.57606033,-1.774481623,55112570,-111093244,-4236050.179,40.60827547,-17.24077332,-2.169683043
-73660726.64,-184759393.5,492642.7183,10.55471972,-70.48204337,-1.829801681,58606869.24,-112554576.7,-4422421.97,40.27870009,-16.59242679,-2.144587681
-72706533.37,-190843986.1,332178.405,11.53246964,-70.36041491,-1.884551326,62072811.84,-113961421.3,-4606653.635,39.9519828,-15.97902075,-2.120141665
-71668033.83,-196916881.5,167009.9232,12.50612443,-70.21129816,-1.938687309,65510671.45,-115316682.6,-4788800.858,39.62871867,-15.39795249,-2.096334743
-70545615.31,-202975710.9,-2807.859096,13.47491004,-70.03483859,-1.992166962,68920767.38,-116623050.5,-4968918.315,39.30937313,-14.84685518,-2.073154019
-69339731.75,-209018118.9,-177216.4139,14.4380579,-69.8312037,-2.044948236,72303454.4,-117883020.1,-5147059.482,38.99430505,-14.32357396,-2.050584692
-68050903.24,-215041765.7,-356153.6081,15.39480552,-69.60058279,-2.096989734,75659114.37,-119098908.5,-5323276.494,38.68378579,-13.82614464,-2.028610638
-66679715.45,-221044328.5,-539553.7611,16.34439713,-69.34318671,-2.14825074,78988149.39,-120272870.6,-5497620.055,38.37801477,-13.35277447,-2.007214867
-65226819.07,-227023503.9,-727347.7051,17.28608429,-69.05924764,-2.198691255,82290976.16,-121406913.5,-5670139.374,38.07713241,-12.90182508,-1.986379877
-63692929.07,-232977009.3,-919462.8486,18.2191265,-68.74901874,-2.248272026,85568021.35,-122502908.4,-5840882.138,37.7812307,-12.47179713,-1.966087929
-62078824.07,-238902585,-1115823.242,19.14279177,-68.41277391,-2.296954576,88819717.81,-123562602.9,-6009894.496,37.490362,-12.06131671,-1.946321261
-60385345.54,-244797995.8,-1316349.645,20.05635722,-68.05080745,-2.344701232,92046501.46,-124587630.5,-6177221.072,37.2045463,-11.6691231,-1.927062252
-58613396.97,-250661032.8,-1520959.599,20.95910961,-67.66343373,-2.391475155,95248808.77,-125579520.6,-6342904.974,36.92377722,-11.29405789,-1.908293542
-56763943.07,-256489515.1,-1729567.5,21.85034593,-67.25098685,-2.437240366,98427074.72,-126539706.2,-6506987.827,36.64802702,-10.93505528,-1.889998129
