UX,UY,UZ,UVX,UVY,UVZ,PX,PY,PZ,PVX,PVY,PVZ
-16498261.78,132113688,2996481.968,-24.14353345,-32.37584803,0.686116238,-16498261.78,132113688,2996481.968,-24.14353345,-32.37584803,0.686116238
-18581029.32,129273779.7,3054990.549,-24.06403343,-33.36243094,0.667985684,-18580585.64,129288373.2,3055117.533,-24.0558356,-33.02884546,0.670995132
-20655724.9,126348730.1,3111864.58,-23.95669201,-34.34657897,0.64828175,-20654642.4,126405614.9,3112395.066,-23.9518895,-33.70575494,0.654663238
-22719945.76,123338783.8,3166968.743,-23.82157556,-35.3274998,0.62701909,-22718953.96,123463295.9,3168205.375,-23.82994378,-34.40776754,0.637012731
-24771295.76,120244253.7,3220169.042,-23.65877229,-36.30440629,0.604213518,-24771882.04,120459194,3222429.467,-23.68803709,-35.1361258,0.617924333
-26807387.34,117065520.4,3271332.886,-23.46839069,-37.27652093,0.579881804,-26811608.79,117390977.4,3274937.496,-23.52396941,-35.89212248,0.597265855
-28825843,113803030.8,3320329.161,-23.25055519,-38.24308644,0.554041169,-28836114.79,114256200.6,3325587.573,-23.33526774,-36.67710148,0.574890376
-30824296.27,110457295.3,3367028.209,-23.00539152,-39.20339865,0.526707587,-30843153.6,111052299.1,3374224.391,-23.11914171,-37.49247116,0.550633557
-32800389.54,107028878.8,3411301.464,-22.73295457,-40.15695581,0.497887525,-32830221.52,107776582,3420677.5,-22.87240784,-38.33978324,0.524307617
-34751747.51,103518345.7,3453018.325,-22.43236107,-41.10493482,0.467480958,-34794514.76,104426201.8,3464758.376,-22.59119675,-39.22136462,0.495669744
-36673743.57,99926273.77,3491823.932,-22.04515814,-42.02208415,0.429850148,-36732631.58,100996219.9,3506178.813,-23.28888218,-41.76933119,0.418771029
-38563489.34,96255883.33,3527555.068,-21.69432002,-42.94179142,0.39698349,-38838782.49,97418993.98,3545636.887,-24.20123825,-41.86102447,0.440502548
-40421747.41,92506107.13,3560380.214,-21.31653283,-43.85700855,0.362625798,-40912422.86,93760032.21,3582137.167,-23.79089579,-42.84356949,0.4038725
-42246237.82,88677692.03,3590177.642,-20.91274938,-44.76186682,0.326906806,-42948257.24,90014558.74,3615330.768,-23.32520831,-43.86327992,0.363926467
-44034734.44,84771589.2,3616831.765,-20.48340707,-45.6551824,0.289870065,-44941252.1,86179416.04,3644920.723,-22.79814827,-44.919149,0.320404736
-45785045.26,80788833.29,3640230.216,-20.02888073,-46.5361121,0.251549466,-46885810.63,82251508.48,3670584.582,-22.20277796,-46.01046203,0.27298889
-47495010.55,76730527.71,3660263.472,-19.54954618,-47.40389392,0.211977445,-48775704.31,78227822.23,3691971.087,-21.53141717,-47.13598344,0.221332164
-49162503.58,72597840.08,3676824.817,-19.04579337,-48.2577994,0.171186653,-50604009.54,74105482.84,3708698.046,-20.77565843,-48.29368261,0.165066095
-50785432.13,68392000.01,3689810.384,-18.51803022,-49.09712071,0.129210428,-52363045.6,69881834.12,3720350.687,-19.92638886,-49.48049707,0.103805951
-52361739.99,64114297.57,3699119.222,-17.96668371,-49.92116631,0.086082957,-54044315.85,65554538.23,3726480.546,-18.97384816,-50.69207562,0.03715805
-53889408.71,59766081.91,3704653.373,-17.39220021,-50.72925961,0.041839322,-55638456.23,61121699.13,3726605.121,-17.90774248,-51.92249163,-0.035269791
-55366459.23,55348760.02,3706317.947,-16.79504534,-51.52073857,-0.003484494,-57135196.81,56582012.14,3720208.599,-16.71743521,-53.16392867,-0.113853649
-56790953.55,50863795.44,3704021.204,-16.17570382,-52.2949558,-0.049851613,-58523343.87,51934941.45,3706744.059,-15.39223807,-54.40635039,-0.198933811
