UX,UY,UZ,UVX,UVY,UVZ,PX,PY,PZ,PVX,PVY,PVZ
-47921190.25,120244160.9,4663872.233,-19.67407932,-35.45670169,0.366833722,-47921190.25,120244160.9,4663872.233,-19.67407932,-35.45670169,0.366833722
-49606012.17,117140601.1,4694149.5,-19.32205107,-36.38331614,0.333798898,-49609783.51,117153052.8,4694482.467,-19.40992492,-36.09948144,0.341490238
-51259288.35,113957418.9,4721513.312,-18.94390117,-37.29968824,0.299397084,-51274541.92,114005690.5,4722837.766,-19.12203793,-36.75892695,0.31461942
-52878774.43,110695531.3,4745846.725,-18.53992321,-38.20507613,0.263655325,-52913332.65,110800623.3,4748801.726,-18.80848533,-37.43527591,0.286117241
-54462252.23,107355919,4767035.165,-18.11043002,-39.09875131,0.226601527,-54523848.72,107536382.9,4772228.638,-18.46716715,-38.12870221,0.255872181
-56007531.36,103939624.9,4784966.5,-17.65575037,-39.98000435,0.188264106,-56103593.96,104211488.9,4792962.809,-18.09580168,-38.83930278,0.223764663
-57512450.22,100447751.6,4799531.044,-17.17622054,-40.8481589,0.148671097,-57649866.63,100824456.4,4810837.841,-17.69190723,-39.56708739,0.189666163
-58974875.79,96881457.69,4810621.428,-16.67215672,-41.70261622,0.107847183,-59159740.88,97373803.32,4825675.78,-17.25277223,-40.31198508,0.153437182
-60392697.7,93241944.1,4818131.86,-16.14372227,-42.5430628,0.065799194,-60630044.21,93858054.59,4837285.922,-16.77537324,-41.0739376,0.114919785
-61763778.37,89530375.39,4821952.449,-15.58938129,-43.37168559,0.022339692,-62057316.27,90275718.73,4845461.79,-16.25587311,-41.85371939,0.073886041
-63079364.73,85749804.73,4820803.24,-14.84833862,-44.08639747,-0.053005614,-63437050.2,86622692.42,4849837.142,-16.72569652,-44.83918109,-0.057658822
-64336855.64,81906921.52,4814293.382,-14.25508147,-44.86968922,-0.097980249,-64993014.43,82786010.28,4849104.023,-17.71451117,-44.78529578,-0.030269937
-65541933.93,77996675.35,4803835.843,-13.6364661,-45.64257948,-0.144275469,-66495308.93,78881499.74,4844402.352,-17.05140774,-45.59906604,-0.079080398
-66692601.15,74020378.04,4789332.506,-12.99574317,-46.3983693,-0.191617801,-67937842.84,74906212.15,4835351.417,-16.3307528,-46.42272599,-0.130940946
-67786985.05,69979563.34,4770696.054,-12.3337207,-47.13589765,-0.239940892,-69315513.65,70859489.82,4821686.495,-15.54934623,-47.25204264,-0.185901733
-68823272.41,65875842.28,4747843.829,-11.65101448,-47.8544234,-0.289197777,-70622913.96,66741003.32,4803135.377,-14.7034985,-48.08328234,-0.244064368
-69799701.53,61710884.63,4720697.026,-10.94821035,-48.55330962,-0.339345387,-71854315.34,62550763.37,4779417.167,-13.78950045,-48.91225254,-0.305525138
-70714561.24,57486413.06,4689180.511,-10.22589548,-49.2319646,-0.390341461,-73003673.62,58289170.08,4750243.383,-12.80377411,-49.73411506,-0.370361771
-71566191.54,53204200.04,4653222.804,-9.484667025,-49.88982537,-0.442143675,-74064645.82,53957072.55,4715319.937,-11.74300277,-50.54330378,-0.438624887
-72352984.55,48866065.68,4612756.096,-8.725135009,-50.52635208,-0.494709335,-75030618.8,49555834.04,4674349.835,-10.60427463,-51.33347759,-0.510329832
-73073385.68,44473875.79,4567716.286,-7.947923165,-51.1410259,-0.547995276,-75894751.12,45087400.01,4627036.586,-9.385246598,-52.09750044,-0.585448172
-73725894.84,40029540.14,4518043.026,-7.153669059,-51.73334825,-0.601957829,-76650030.05,40554366.51,4573088.36,-8.084328128,-52.82745217,-0.663898871
-74309067.62,35535010.73,4463679.759,-6.343023851,-52.30284059,-0.656552829,-77289345.1,35960046.18,4512222.926,-6.700881538,-53.51467735,-0.745539423
-74821516.42,30992280.01,4404573.768,-5.516651889,-52.84904449,-0.711735631,-77805579.37,31308528.03,4444173.322,-5.235431602,-54.14988002,-0.830157469
